memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,1264282,0.178209,1826477,1266700,48.0
128,cold,True,1266560,0.147974,1717496,1269050,48.0
128,cold,True,1286744,0.140207,1728699,1307340,47.0
128,cold,True,1300712,0.178614,1831048,1320280,47.0
128,cold,True,1303759,0.168526,1826029,1306230,47.0
128,cold,True,1303592,0.176948,1832138,1323210,48.0
128,cold,True,1263542,0.146628,1716288,1283300,47.0
128,cold,True,1285341,0.178381,1827242,1305980,47.0
128,cold,True,1306043,0.168108,1825540,1326680,48.0
128,cold,True,1331674,0.167792,1830497,1352420,47.0
128,cold,True,1274664,0.168885,1826061,1295260,47.0
128,cold,True,1244847,0.167134,1830776,1264510,47.0
128,cold,True,1258659,0.161553,1716855,1279340,48.0
128,cold,True,1258681,0.132857,1716436,1262360,47.0
128,cold,True,1339722,0.161983,1788071,1360400,47.0
128,cold,True,1309522,0.177183,1826308,1312060,47.0
128,cold,True,1277228,0.139338,1752732,1297930,48.0
128,cold,True,1263790,0.161416,1726796,1284440,48.0
128,cold,True,1197993,0.140486,1716980,1218520,47.0
128,cold,True,1305914,0.139486,1725490,1326620,48.0
256,cold,True,603008,0.157241,1037284,621890,47.0
256,cold,True,649099,0.156069,1119574,651650,47.0
256,cold,True,631974,0.160597,1104656,634670,48.0
256,cold,True,643123,0.136878,1054112,661600,47.0
256,cold,True,614263,0.130789,1030248,616760,48.0
256,cold,True,620243,0.149567,1056070,622740,47.0
256,cold,True,610196,0.16087,1076701,612700,47.0
256,cold,True,636434,0.136644,1048970,638940,48.0
256,cold,True,596005,0.159387,1049193,614720,48.0
256,cold,True,596299,0.152576,1049219,614980,47.0
256,cold,True,557153,0.150048,1030293,559410,48.0
256,cold,True,600206,0.160706,1063163,602630,47.0
256,cold,True,596321,0.1388,1111192,613600,47.0
256,cold,True,654238,0.153426,1116608,657030,47.0
256,cold,True,600015,0.130545,1029572,618720,48.0
256,cold,True,612826,0.153269,1055545,615300,47.0
256,cold,True,642943,0.151675,1086155,645510,48.0
256,cold,True,584101,0.159912,1078795,603870,47.0
256,cold,True,632505,0.14887,1073564,634920,47.0
256,cold,True,660421,0.157295,1139827,663160,47.0
1024,cold,True,149156,0.175564,598596,151540,47.0
1024,cold,True,134692,1.121822,1556014,137030,47.0
1024,cold,True,152555,1.114136,1605543,154940,47.0
1024,cold,True,141644,0.208359,627954,143960,48.0
1024,cold,True,144853,0.175268,639503,147180,47.0
1024,cold,True,187285,0.20782,791128,203310,48.0
1024,cold,True,131930,0.173976,571397,134160,47.0
1024,cold,True,140559,1.126689,1590789,142840,47.0
1024,cold,True,145066,0.207711,686557,147590,48.0
1024,cold,True,137675,0.209,636494,139990,47.0
1024,cold,True,140745,1.113176,1552620,143130,47.0
1024,cold,True,150335,0.208645,676509,152900,47.0
