memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
1024,cold,True,6772662,0.308963,7779596,6774520,582.0
1024,cold,True,6790325,0.156482,7495126,6792310,586.0
1024,cold,True,7125325,0.30137,8316687,7127170,588.0
1024,cold,True,6550257,0.308587,7528291,6552100,586.0
1024,cold,True,6531645,0.159344,7369790,6545520,585.0
1024,cold,True,7602482,0.300694,8948874,7616800,588.0
1024,cold,True,7119826,0.127141,7825115,7122020,581.0
1024,cold,True,6746048,0.154987,7508264,6747950,582.0
1024,cold,True,7187173,0.158448,7898860,7189200,587.0
1024,cold,True,6957059,0.124724,8177848,6958910,586.0
1024,cold,True,6676640,0.130664,7426934,6678460,583.0
1024,cold,True,6809018,0.155671,7686076,6811130,584.0
1024,cold,True,6823595,0.131567,7466163,6825480,588.0
1024,cold,True,6505116,0.131455,7183746,6506880,583.0
1024,cold,True,6634671,0.313521,7607996,6636440,583.0
1024,cold,True,6571093,0.300294,7536188,6572890,591.0
1024,cold,True,6924778,0.156394,7617954,6926300,579.0
1024,cold,True,7093358,0.300172,8315828,7106210,585.0
1024,cold,True,6891012,0.294184,7937035,6893290,584.0
1024,cold,True,6497327,0.309183,7406239,6499330,579.0
1024,warm,False,722632,0.172721,986434,742480,582.0
1024,warm,False,722541,0.140911,1007922,724040,586.0
1024,warm,False,847133,0.172858,1098376,848730,587.0
1024,warm,False,715636,0.150672,1003175,717140,579.0
1024,warm,False,682440,0.157975,923698,696130,583.0
1024,warm,False,735813,0.140605,1004869,737340,583.0
1024,warm,False,698085,0.134022,898200,699570,586.0
1024,warm,False,749530,0.149111,957614,751080,579.0
1024,warm,False,714194,0.157834,954481,715660,585.0
1024,warm,False,735204,0.17502,991988,752090,586.0
1024,warm,False,719421,0.172529,986534,737070,584.0
1024,warm,False,795246,0.149544,1011042,796740,586.0
1024,warm,False,707193,0.141643,1003599,708610,582.0
1024,warm,False,703590,0.150273,1002391,705110,585.0
1024,warm,False,727831,0.135558,1003232,729380,587.0
1024,warm,False,712495,0.150307,1009559,714030,583.0
1024,warm,False,719321,0.134208,1008958,720790,588.0
1024,warm,False,701880,0.156901,927187,703400,583.0
1024,warm,False,728418,0.171417,979714,744590,588.0
1024,warm,False,708564,0.149209,1002975,726180,584.0
2048,cold,True,3578213,0.152155,4368835,3579960,583.0
2048,cold,True,3850775,0.187896,4583257,3852810,585.0
2048,cold,True,3664712,0.162366,4338619,3666500,585.0
2048,cold,True,3822214,0.187078,4627686,3824230,586.0
2048,cold,True,3760491,0.315121,4668639,3761640,583.0
2048,cold,True,3986143,0.163262,4866898,3988270,586.0
2048,cold,True,4038208,0.148948,4898074,4040190,592.0
2048,cold,True,3681269,0.163512,4370398,3683140,586.0
2048,cold,True,3902962,0.160631,4736038,3904980,585.0
2048,cold,True,3625265,0.18708,4367439,3627090,580.0
2048,cold,True,3148323,0.162996,4086832,3149430,586.0
2048,cold,True,3704492,0.163705,4442431,3706450,588.0
2048,cold,True,3986456,0.162427,4748948,3988510,589.0
2048,cold,True,3827810,0.125612,4621692,3830430,588.0
2048,cold,True,3671918,0.162736,4874397,3673830,584.0
2048,cold,True,3637613,0.149765,4411524,3639540,585.0
2048,cold,True,3831386,0.147809,4618845,3833480,587.0
2048,cold,True,3875387,0.187492,4622120,3877370,580.0
2048,cold,True,3613892,0.188618,4551042,3615770,584.0
2048,cold,True,3684824,0.163258,4717507,3686880,588.0
512,cold,True,13769119,0.125161,14976654,13771330,512.0
512,cold,True,13566255,0.143054,14720573,13568530,512.0
512,cold,True,14544095,0.123384,15309537,14546500,512.0
512,cold,True,13981828,0.307865,14857648,13983950,512.0
512,cold,True,14251881,0.158467,15396971,14254710,512.0
512,cold,True,14068090,0.130954,14854059,14070420,512.0
512,cold,True,14671625,0.321253,15673635,14690820,512.0
512,cold,True,13546775,0.142998,14656293,13548890,512.0
512,cold,True,13401170,0.142866,14583329,13403370,512.0
512,cold,True,14621665,0.141321,15365604,14623480,512.0
512,cold,True,14772065,0.143286,15860857,14791160,512.0
512,cold,True,14512027,0.308865,15709860,14514350,512.0
512,cold,True,14872866,0.141156,15584676,14891820,512.0
512,cold,True,13004304,0.142862,14173932,13006480,512.0
512,cold,True,14287375,0.15873,15498456,14289830,512.0
512,cold,True,14547334,0.320822,15563535,14549980,512.0
512,cold,True,13599256,0.308342,14514451,13601590,512.0
512,cold,True,14452922,0.290864,15626978,14454470,512.0
512,cold,True,14348618,0.136602,15414603,14367110,512.0
512,cold,True,13655216,0.307747,14640100,13657390,512.0
2048,warm,False,348050,0.144795,558468,349540,586.0
2048,warm,False,359121,0.146226,715141,360660,583.0
2048,warm,False,323112,0.208335,587379,324550,583.0
2048,warm,False,366142,0.140039,568621,367560,585.0
2048,warm,False,387256,0.208807,666966,388750,585.0
2048,warm,False,368902,0.141738,575125,370330,580.0
2048,warm,False,403869,0.132449,597507,405530,592.0
2048,warm,False,358925,0.195437,621549,360440,584.0
2048,warm,False,354021,0.202051,606458,355460,580.0
2048,warm,False,345190,0.209327,604320,346620,583.0
2048,warm,False,359599,0.196544,616969,361070,580.0
2048,warm,False,348845,0.196347,604910,350500,586.0
2048,warm,False,390077,0.126561,580948,400700,585.0
2048,warm,False,342913,0.207658,615716,355830,585.0
2048,warm,False,355148,0.14076,557637,356790,585.0
2048,warm,False,353552,0.147006,725883,355050,583.0
2048,warm,False,381068,0.143943,573607,382570,584.0
2048,warm,False,349099,0.209806,620477,359740,592.0
2048,warm,False,345142,0.19052,610587,346590,585.0
2048,warm,False,431960,0.140216,636252,433430,580.0
512,warm,False,1472142,0.13974,1717155,1509790,512.0
512,warm,False,1457629,0.15961,1689860,1459340,512.0
512,warm,False,1395929,0.137763,1688838,1413520,512.0
512,warm,False,1389138,0.159842,1640465,1407690,512.0
512,warm,False,1377234,0.136592,1688982,1395650,512.0
512,warm,False,1483074,0.148725,2046520,1484630,512.0
512,warm,False,1438768,0.153486,1683311,1476810,512.0
512,warm,False,1420323,0.128452,1691413,1462850,512.0
512,warm,False,1420322,0.152138,1677728,1457570,512.0
512,warm,False,1421118,0.141715,1643251,1440410,512.0
512,warm,False,1408738,0.160067,1641381,1410260,512.0
512,warm,False,1445308,0.14148,1646832,1446730,512.0
512,warm,False,1464215,0.159667,1707805,1481950,512.0
512,warm,False,1454571,0.160141,1695067,1473710,512.0
512,warm,False,1424007,0.14755,1981523,1443060,512.0
512,warm,False,1372397,0.128072,1690283,1391290,512.0
512,warm,False,1491846,0.148578,1864785,1493340,512.0
512,warm,False,1460250,0.138106,1694264,1479170,512.0
512,warm,False,1458092,0.138698,1704134,1498550,512.0
512,warm,False,1481501,0.152925,1725158,1500040,512.0
