memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,7407424,0.157946,7965903,7421450,87.0
128,cold,True,7562365,0.147566,8113673,7575850,87.0
128,cold,True,7471481,0.133991,8035118,7491030,87.0
128,cold,True,7260790,0.146543,7772603,7281380,87.0
128,cold,True,7501088,0.133096,8082878,7502960,87.0
128,cold,True,7385721,0.147776,8173882,7406440,87.0
128,cold,True,7439604,0.147016,8051894,7441500,87.0
128,cold,True,7247601,0.132485,7781663,7266040,87.0
128,cold,True,7574773,0.146478,8053705,7576790,87.0
128,cold,True,7422941,0.147545,7959674,7424830,87.0
128,cold,True,7201670,0.137654,7715157,7212970,90.0
128,cold,True,7666995,0.132791,8200138,7687570,90.0
128,cold,True,7554988,0.147177,8097018,7575560,87.0
128,cold,True,7542869,0.133581,8051052,7563470,87.0
128,cold,True,7730015,0.132988,8245380,7738020,87.0
128,cold,True,7541925,0.137893,8091865,7556200,90.0
128,cold,True,7439261,0.132749,7976070,7459720,87.0
128,cold,True,7420593,0.146725,8248776,7441320,90.0
128,cold,True,7183586,0.14733,8034527,7185740,87.0
128,cold,True,7869529,0.134185,8464694,7890300,90.0
256,cold,True,3832957,0.137798,4343405,3835280,87.0
256,cold,True,3504270,0.137566,3999406,3506210,87.0
256,cold,True,3810143,0.126241,4287568,3811990,87.0
256,cold,True,3448076,0.126901,3972169,3449890,87.0
256,cold,True,3506172,0.19149,4038833,3507940,87.0
256,cold,True,3641304,0.190954,4245632,3653770,87.0
256,cold,True,3321182,0.126483,3761474,3322960,87.0
256,cold,True,3459822,0.191137,3993960,3463670,90.0
256,cold,True,3703942,0.126616,4253348,3706060,87.0
256,cold,True,3735300,0.194144,4306450,3737300,87.0
256,cold,True,3273606,0.192029,3827275,3275250,87.0
256,cold,True,3379489,0.154699,3890460,3381140,87.0
256,cold,True,3809012,0.19545,4488274,3828900,87.0
256,cold,True,3794020,0.137395,4292206,3796060,87.0
256,cold,True,3524536,0.127095,4011236,3526630,87.0
256,cold,True,3592655,0.137562,4094779,3594490,87.0
256,cold,True,3590093,0.194968,4148566,3591340,87.0
256,cold,True,3493487,0.118234,3950191,3495220,90.0
256,cold,True,3725651,0.194761,4381329,3727710,90.0
256,cold,True,3535540,0.194078,4096287,3537620,87.0
1024,cold,True,957734,0.147005,1486751,959740,87.0
1024,cold,True,873276,0.129084,1377167,875330,87.0
1024,cold,True,850417,0.156285,1374043,852210,87.0
1024,cold,True,834436,0.155715,1374113,836410,87.0
1024,cold,True,816762,0.155745,1373126,818430,87.0
1024,cold,True,886919,0.115523,1360977,888830,87.0
1024,cold,True,841601,0.129221,1310653,843450,87.0
1024,cold,True,819894,0.129287,1307872,821730,87.0
1024,cold,True,818134,0.156066,1373324,819960,87.0
1024,cold,True,906778,0.129879,1388208,908460,87.0
1024,cold,True,862783,0.156085,1375427,864750,87.0
1024,cold,True,835826,0.155054,1372473,837660,87.0
1024,cold,True,914213,0.129057,1433307,916270,87.0
1024,cold,True,925093,0.155134,1439422,927210,87.0
1024,cold,True,850265,0.147905,1338327,852170,87.0
1024,cold,True,868410,0.155876,1503516,870400,87.0
1024,cold,True,923528,0.129496,1413120,925430,87.0
1024,cold,True,883939,0.155949,1395300,885850,87.0
1024,cold,True,942422,0.146065,1442098,944350,87.0
1024,cold,True,869164,0.155025,1433895,871110,87.0
1024,warm,False,503192,0.33355,884130,504720,91.0
1024,warm,False,266565,0.151154,502012,267990,91.0
1024,warm,False,287436,0.151497,506826,288920,91.0
1024,warm,False,236470,0.333167,626518,237850,91.0
1024,warm,False,255089,0.15114,466230,256510,91.0
1024,warm,False,234887,0.151918,502352,236440,91.0
1024,warm,False,254427,0.150826,462944,255950,91.0
1024,warm,False,292984,0.135826,503063,294570,91.0
1024,warm,False,259508,0.332572,650591,260950,91.0
1024,warm,False,294157,0.150823,511838,295550,91.0
1024,warm,False,277668,0.334019,677313,279100,91.0
1024,warm,False,300738,0.117845,506332,302170,91.0
1024,warm,False,294051,0.120784,467072,295480,91.0
1024,warm,False,297710,0.150338,509690,300400,91.0
1024,warm,False,256177,0.117702,501849,257640,91.0
1024,warm,False,277315,0.116402,503299,278720,91.0
1024,warm,False,280272,0.135403,507779,281640,91.0
1024,warm,False,276601,0.135099,500859,278190,91.0
1024,warm,False,265212,0.15172,508915,266620,91.0
1024,warm,False,298067,0.150449,515352,299610,91.0
2048,cold,True,579210,0.186916,1088747,581100,87.0
2048,cold,True,567450,0.158869,1114051,0,
2048,cold,True,567698,0.160137,1201898,569610,87.0
2048,cold,True,3044727,0.186308,3602071,3046480,87.0
2048,cold,True,577445,0.186926,1215447,579330,87.0
2048,cold,True,621166,0.186739,1174842,623120,87.0
2048,cold,True,652644,0.159273,1176025,655040,87.0
2048,cold,True,622331,0.159288,1144329,624270,87.0
2048,cold,True,602427,0.186276,1088081,604240,87.0
2048,cold,True,701395,0.157891,1201404,0,
2048,cold,True,590432,0.171269,1085613,0,
2048,cold,True,642086,0.129263,1091590,644010,87.0
2048,cold,True,588392,0.186877,1086123,590170,87.0
2048,cold,True,567744,0.186687,1098134,569520,87.0
2048,cold,True,670395,0.15801,1176577,0,
2048,cold,True,656301,0.158931,1150067,0,
2048,cold,True,633098,0.157801,1437981,634970,87.0
2048,cold,True,669037,0.162307,1163798,671360,87.0
2048,cold,True,580463,0.187451,1105409,582370,87.0
2048,cold,True,683065,0.160401,1302946,0,
512,cold,True,1712253,0.146342,2221188,1714160,87.0
512,cold,True,1557778,0.163027,2019834,1559470,87.0
512,cold,True,1686867,0.145378,2162158,1688660,87.0
512,cold,True,1655294,0.141602,2178200,1656430,87.0
512,cold,True,1711472,0.162504,2260051,1713330,87.0
512,cold,True,1698207,0.146979,2242037,1701260,87.0
512,cold,True,1638073,0.162445,2221518,1639830,87.0
512,cold,True,1885213,0.145129,2400138,1886670,87.0
512,cold,True,1700510,0.162706,2215375,1702380,87.0
512,cold,True,1763784,0.161707,2290252,1765830,87.0
512,cold,True,1735324,0.163218,2258449,1737310,87.0
512,cold,True,1771413,0.161778,2328571,1773420,87.0
512,cold,True,1662680,0.16233,2179898,1664500,87.0
512,cold,True,1962770,0.15147,2504692,1964820,87.0
512,cold,True,1717643,0.146136,2234856,1719770,87.0
512,cold,True,1921912,0.134733,2436447,1923750,87.0
512,cold,True,1653641,0.163015,2215726,1655510,87.0
512,cold,True,1698384,0.135461,2189333,1700100,87.0
512,cold,True,1801146,0.134472,2293729,1803260,87.0
512,cold,True,1562473,0.135685,2022032,1564070,87.0
2048,warm,False,237155,0.141398,434114,0,
2048,warm,False,181247,0.140604,383384,182700,91.0
2048,warm,False,227722,0.129445,421576,0,
2048,warm,False,196787,0.140292,387108,198150,91.0
2048,warm,False,226959,0.141114,417202,0,
2048,warm,False,249643,0.138366,451249,0,
2048,warm,False,638355,0.14065,943077,639930,91.0
2048,warm,False,224337,0.141337,421767,225760,91.0
2048,warm,False,305164,0.100595,464978,0,
2048,warm,False,262205,0.138542,453669,0,
2048,warm,False,240316,0.131883,421250,0,
2048,warm,False,219011,0.14138,423356,220580,91.0
2048,warm,False,230925,0.135541,434426,232440,91.0
2048,warm,False,265884,0.137882,467782,267250,91.0
2048,warm,False,266149,0.138432,483782,267620,91.0
2048,warm,False,252247,0.138135,446544,0,
2048,warm,False,196278,0.132371,396938,197720,91.0
2048,warm,False,237303,0.135837,438169,238680,91.0
