memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
512,burst,False,532383,0.708025,22379817,17974599,
512,burst,False,610053,0.805099,21660033,20658166,
512,burst,True,14398738,0.749985,15423724,14461024,
512,burst,False,707954,0.87361,19746965,18384938,
512,burst,False,559918,0.878163,21220224,20087259,
512,burst,True,18840650,0.681974,20405086,18927966,
512,burst,True,15687123,0.879016,20915331,15740337,
512,burst,False,530421,0.80964,15983952,13675188,
512,burst,False,630556,0.733127,20441555,19478248,
512,burst,False,454597,0.876231,17510206,14448153,
512,burst,False,476160,0.873146,17917076,14887871,
512,burst,True,15396307,0.872845,16550299,15458183,
512,burst,False,571662,0.876824,20397782,18960857,
512,burst,False,493951,0.869349,16991272,14003972,
512,burst,True,17626232,0.880893,19115604,17744002,
512,burst,False,560278,0.875098,20659084,19523105,
512,burst,False,630029,0.778131,22930567,20714289,
512,burst,False,623073,0.704216,22383240,20096966,
512,burst,False,627451,0.773499,21306685,20078719,
512,burst,True,17407537,0.687205,21602168,17479834,
512,warm,False,542291,1.321315,2136254,554533,
512,warm,False,570132,1.315871,3094711,1147545,
512,warm,False,621323,1.141547,2381685,1042304,
512,warm,False,579978,1.31173,3092084,1132553,
512,warm,False,566673,1.143581,3001309,1574549,
512,warm,False,599688,1.320745,4053981,2326779,
512,warm,False,559986,0.871098,4703487,575099,
512,warm,False,529441,1.057113,1829842,544417,
512,warm,False,569108,1.31744,3098597,1158226,
512,warm,False,561331,0.862296,2258321,1184323,
512,warm,False,614016,0.972195,1833099,632191,
512,warm,False,582422,1.057833,1850332,605003,
512,warm,False,541324,0.867875,2141932,1081583,
512,warm,False,573891,1.313206,2133778,605185,
512,warm,False,591130,1.311057,3092869,1179519,
512,warm,False,586458,0.860728,1819205,600137,
512,warm,False,527464,0.859816,1814772,550583,
512,warm,False,579102,0.869186,4710813,597668,
512,warm,False,558896,0.996637,1825110,572023,
512,warm,False,563378,1.316091,3262783,1727729,
512,warm,False,523612,1.143141,2316218,969261,
512,warm,False,597047,1.063741,5340360,1036734,
512,warm,False,618114,0.862958,4704703,633851,
512,warm,False,606327,1.144297,3744813,2176266,
512,warm,False,560815,1.319458,2143491,595288,
512,warm,False,574729,1.141924,2414306,1077728,
512,warm,False,627135,0.866571,1825232,654001,
512,warm,False,567376,1.318313,2136621,577038,
512,warm,False,565333,1.055182,2362689,1111310,
