memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
512,burst,False,14517,0.325593,528036,38890,
512,burst,False,3759,0.341453,1192477,14312,
512,burst,False,15139,0.339375,1180131,0,
512,burst,False,18398,0.321823,480800,37646,
512,burst,False,3480,0.340194,1173253,18880,
512,burst,False,15171,0.329195,492824,38406,
512,burst,True,117427,0.322737,625715,184796,
512,burst,False,13429,0.322131,519836,48257,
512,burst,True,92180,0.335082,2299292,0,
512,burst,False,8044,0.341107,1146793,0,
512,burst,True,102172,0.330584,619624,154274,
512,burst,False,6264,0.318055,587032,116898,
512,burst,False,7544,0.328891,636586,139627,
512,burst,False,15799,0.325135,627395,146188,
512,burst,False,5607,0.341701,1206237,0,
512,burst,False,13876,0.322552,506870,45969,
512,burst,False,5990,0.333593,1149460,15741,
512,burst,True,127545,0.329907,647571,0,
512,burst,False,9397,0.339764,1177995,0,
512,burst,True,99936,0.318281,586865,157117,
512,warm,False,17403,0.288006,431123,41661,
512,warm,False,16099,0.28011,462236,66715,
512,warm,False,9586,0.30727,1105279,22763,
512,warm,False,8920,0.280292,416856,25580,
512,warm,False,11438,0.276066,411531,31798,
512,warm,False,12169,0.273317,423922,39179,
512,warm,False,13613,0.273165,417130,31053,
512,warm,False,10010,0.273075,442937,54411,
512,warm,False,3690,0.303232,424472,13530,
512,warm,False,13479,0.272766,401086,25157,
512,warm,False,15445,0.273872,406449,29337,
512,warm,False,23057,0.273743,414936,38338,
512,warm,False,7632,0.274817,400728,23556,
512,warm,False,4577,0.276571,398072,17945,
512,warm,False,7151,0.273265,416317,13832,
512,warm,False,4083,0.299465,1117342,29661,
512,warm,False,10375,0.310918,1126766,25833,
512,warm,False,15727,0.283966,430207,27736,
512,warm,False,12437,0.281123,404787,24644,
512,warm,False,10178,0.280669,423823,39129,
512,warm,False,4682,0.297762,418337,15269,
512,warm,False,8226,0.304472,1109125,27389,
512,warm,False,7626,0.282271,435342,40734,
512,warm,False,5407,0.301805,418012,14341,
512,warm,False,8525,0.282208,429471,44352,
512,warm,False,9524,0.306753,1109619,28560,
512,warm,False,9108,0.309733,1113742,19419,
512,warm,False,5405,0.278769,402712,18647,
512,warm,False,11866,0.275325,473437,70163,
