memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,sequential,False,12626579,0.09347,12774065,12627790,116.0
128,sequential,False,12968465,0.110477,13165926,12970190,128.0
128,sequential,False,12647449,0.118126,12933654,12665420,124.0
128,sequential,False,13015357,0.103386,13256452,13017320,128.0
128,sequential,False,12764687,0.123269,128437102,12778070,128.0
128,sequential,False,12929944,0.098398,13175854,12940430,121.0
128,sequential,False,12934172,0.102314,13205985,12935970,128.0
128,sequential,False,12815752,0.113863,12987314,12818210,128.0
128,sequential,False,12895697,0.143378,13122255,12909180,128.0
128,sequential,False,13274406,0.165655,13539782,13276380,128.0
256,sequential,False,6674894,0.118841,6858719,6676970,250.0
256,sequential,False,6507265,0.092431,6675027,6509280,215.0
256,sequential,False,6869185,0.192418,7129094,6871220,234.0
256,sequential,False,6507798,0.278437,7030330,6509630,250.0
256,sequential,False,6537120,0.11057,6756013,6538930,250.0
256,sequential,False,6352123,0.09551,6487839,6354020,251.0
256,sequential,False,6471244,0.096764,6623944,6473260,157.0
256,sequential,False,7220386,0.114192,7377437,7222320,250.0
256,sequential,False,6622566,0.138199,6829748,6626270,177.0
256,sequential,False,6866030,0.098121,7064505,6867260,196.0
128,cold,True,17928535,0.149345,18370766,17944720,94.0
128,cold,True,18256319,0.151933,18807293,18258570,94.0
128,cold,True,18818874,0.119967,19273442,18833900,95.0
128,cold,True,18993110,0.134107,19552533,19007170,94.0
128,cold,True,18780435,0.132546,19219012,18782760,94.0
128,cold,True,17909709,0.134827,18352928,17924690,95.0
128,cold,True,19066038,0.147142,19529734,19085450,95.0
128,cold,True,18107767,0.132724,18541332,18125200,94.0
128,cold,True,18041219,0.142129,18475621,18060760,95.0
128,cold,True,17679603,0.133487,18151590,17681290,95.0
256,cold,True,8930908,0.101236,9335518,8933290,95.0
256,cold,True,8781087,0.087291,9156758,8783320,95.0
256,cold,True,9220102,0.102517,9618440,9222900,95.0
256,cold,True,8982749,0.080623,9552369,8985200,95.0
256,cold,True,9322601,0.105022,9755803,9325110,95.0
256,cold,True,9163549,0.100674,9536773,9165590,95.0
256,cold,True,9013753,0.102228,9403677,9015910,95.0
256,cold,True,9015739,0.098105,9436423,9018000,95.0
256,cold,True,12594831,0.086318,13091743,12597140,95.0
256,cold,True,9184782,0.086084,9555373,9186890,95.0
256,burst,True,9224418,0.272883,9812953,9227300,95.0
256,burst,True,9095948,0.26385,9667392,9098420,95.0
256,burst,True,8795380,0.270444,9307594,8796960,95.0
256,burst,True,9035827,0.276296,9635077,9038140,95.0
256,burst,True,8859718,0.271135,9390655,8861920,96.0
256,burst,True,9477463,0.269331,10065992,9479760,94.0
256,burst,True,8964515,0.275747,9635058,8966730,95.0
256,burst,True,9004993,0.275567,9634252,9007100,95.0
256,burst,True,9003361,0.274962,9642998,9005760,95.0
256,burst,True,8734596,0.274618,9318060,8736820,96.0
128,burst,True,18429468,0.129273,18886851,18431920,95.0
128,burst,True,17912234,0.129574,18347413,17914450,95.0
128,burst,True,17016266,0.119295,17550512,17030260,95.0
128,burst,True,17447189,0.128773,17941422,17458390,94.0
128,burst,True,17995563,0.163149,18452193,17997340,94.0
128,burst,True,19026049,0.161002,19534464,19028730,95.0
128,burst,True,17970167,0.128522,18441618,17978960,94.0
128,burst,True,17711462,0.164411,18139110,17713330,95.0
128,burst,True,18103398,0.162498,18678723,18110960,95.0
128,burst,True,18702455,0.125659,19119646,18712670,95.0
256,warm,False,6610963,0.095983,6780723,6612180,137.0
256,warm,False,6974961,0.339052,7367892,6976760,137.0
256,warm,False,6575369,0.103056,6739704,6577210,136.0
256,warm,False,6754869,0.119823,7162200,6756090,137.0
256,warm,False,6728539,0.338742,7162280,6730340,137.0
256,warm,False,6742369,0.118802,7161633,6744380,137.0
256,warm,False,6789360,0.111684,7162331,6791420,137.0
256,warm,False,6768858,0.110895,6968458,6770850,137.0
256,warm,False,6520240,0.119269,6912409,6522210,137.0
256,warm,False,6547936,0.095309,6715923,6549790,137.0
128,warm,False,12735465,0.152573,12997393,12737330,120.0
128,warm,False,13089465,0.15241,13298197,13091470,120.0
128,warm,False,13020639,0.133228,13213092,13028100,119.0
128,warm,False,12985900,0.152906,13199447,12998040,120.0
128,warm,False,13434058,0.130557,13655927,13438620,120.0
128,warm,False,13582403,0.130359,13761761,13584170,121.0
128,warm,False,12943942,0.131112,13131440,12958440,120.0
128,warm,False,13218934,0.15269,13417214,13223100,120.0
128,warm,False,12915188,0.152946,13130885,12917300,120.0
128,warm,False,13498709,0.153322,13695436,13517720,120.0
