memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
256,cold,True,8809134,0.137199,9249604,8811470,94.0
256,cold,True,8773086,0.127732,9179528,8775340,95.0
256,cold,True,8876536,0.125225,9296624,8878900,95.0
256,cold,True,8632836,0.134826,9118847,8634870,95.0
256,cold,True,8601931,0.124885,9006249,8606320,95.0
256,cold,True,9498749,0.149275,10041253,9501230,95.0
256,cold,True,8319572,0.125589,8719732,8321670,95.0
256,cold,True,8935094,0.136558,9374337,8937760,95.0
256,cold,True,8645201,0.148719,9117063,8647360,95.0
256,cold,True,8805807,0.150341,9251276,8808220,94.0
256,cold,True,8863990,0.133567,9276241,8866100,95.0
256,cold,True,8893767,0.124562,9307896,8895940,95.0
256,cold,True,8484493,0.150152,11914186,8486560,95.0
256,cold,True,9026591,0.137094,9467114,9028350,95.0
256,cold,True,9011091,0.135719,9509201,9013420,95.0
256,cold,True,8543124,0.125954,9007713,8545160,95.0
256,cold,True,8887011,0.14941,9330786,8889250,95.0
256,cold,True,8988681,0.137465,9415790,8991510,94.0
256,cold,True,8957339,0.149822,9378645,8959570,95.0
256,cold,True,8697541,0.148585,9125880,8699780,95.0
1024,cold,True,2921386,0.133854,3375704,2923580,96.0
1024,cold,True,2917207,0.321705,3503989,2919590,95.0
1024,cold,True,2882313,0.128038,3301149,2884400,95.0
1024,cold,True,2638186,0.320824,3234575,2639990,95.0
1024,cold,True,2995007,0.352308,3655106,2997330,95.0
1024,cold,True,3058513,0.328675,3681909,3070540,96.0
1024,cold,True,3050353,0.358964,3745556,3052820,95.0
1024,cold,True,2934437,0.364549,3603692,2936640,96.0
1024,cold,True,2909824,0.36008,3538662,2912010,95.0
1024,cold,True,2982411,0.329564,3599402,2985050,96.0
1024,cold,True,2917750,0.159412,3371894,2920040,95.0
1024,cold,True,2623852,0.360589,3231020,2626060,95.0
1024,cold,True,3318797,0.320313,3928696,3321030,95.0
1024,cold,True,2991711,0.12113,3400351,2993860,95.0
1024,cold,True,3073637,0.134044,3497919,3075860,96.0
1024,cold,True,2798731,0.357831,3475625,2800980,95.0
1024,cold,True,2813415,0.137343,3611091,2814900,95.0
1024,cold,True,2834567,0.359064,3460879,2836770,95.0
1024,cold,True,2760118,0.132999,3178039,2762330,96.0
1024,cold,True,2972848,0.123115,3392322,2975000,95.0
1024,warm,False,2682215,0.143252,2885529,2684020,137.0
1024,warm,False,2253430,0.138239,2468897,2255240,157.0
1024,warm,False,2321049,0.135375,2513105,2323020,137.0
