memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
256,cold,True,616323,0.210357,1177219,634530,49.0
256,cold,True,638660,0.188954,1176920,658280,49.0
256,cold,True,679604,0.192769,1215127,681880,49.0
256,cold,True,620706,0.193934,1202691,658810,49.0
256,cold,True,659004,0.188852,1292601,678200,49.0
256,cold,True,652396,0.209633,1530350,672030,49.0
256,cold,True,632611,0.190416,1189924,652800,49.0
256,cold,True,613551,0.19319,1195296,651710,49.0
256,cold,True,649091,0.192965,1238926,668050,49.0
256,cold,True,626702,0.19062,1205272,665010,49.0
1024,cold,True,156555,0.196621,806077,158690,49.0
1024,cold,True,133791,0.181929,725378,135860,49.0
1024,cold,True,137136,0.179536,719441,139060,49.0
1024,cold,True,138719,0.160777,661687,140640,49.0
1024,cold,True,131013,0.35677,829113,132830,49.0
1024,cold,True,119282,0.182294,723031,128160,49.0
1024,cold,True,139144,0.17805,718114,141090,49.0
1024,cold,True,138630,0.177581,716984,141690,49.0
1024,cold,True,134937,0.168317,667460,144330,49.0
1024,cold,True,194907,0.140088,730404,197090,49.0
1024,cold,True,144917,0.202423,731318,146780,49.0
1024,cold,True,140456,0.35507,838762,142330,49.0
1024,cold,True,147084,0.165371,671091,148530,49.0
1024,cold,True,129832,0.196296,666452,136430,49.0
1024,cold,True,136985,0.355559,811105,139020,49.0
1024,cold,True,142186,0.178597,723611,144390,49.0
1024,cold,True,138096,0.168922,716775,147800,49.0
1024,cold,True,135975,0.170624,720119,146050,49.0
1024,warm,False,2034,0.14875,230151,3180,49.0
1024,warm,False,2052,0.324943,388425,3230,50.0
1024,warm,False,2154,0.142725,254235,3350,50.0
1024,warm,False,2146,0.136031,191313,3450,49.0
1024,warm,False,2193,0.136118,194831,3560,49.0
1024,warm,False,2034,0.149047,227181,4260,49.0
1024,warm,False,2070,0.149297,215735,3280,49.0
1024,warm,False,2226,0.167493,218949,3480,49.0
1024,warm,False,2112,0.32556,394430,3540,49.0
1024,warm,False,2046,0.142774,223196,3290,49.0
2048,cold,True,85923,0.139631,538504,87740,49.0
2048,cold,True,77848,0.139392,542515,79530,49.0
2048,cold,True,89426,0.144168,564942,91380,49.0
2048,cold,True,88092,0.151071,582321,89860,49.0
2048,cold,True,92153,0.144414,570158,94600,49.0
2048,cold,True,75008,0.14433,547621,77090,49.0
2048,cold,True,88821,0.150873,667849,98710,49.0
2048,cold,True,91873,0.152954,599391,93700,49.0
2048,cold,True,78079,0.121355,511501,79790,49.0
2048,cold,True,83420,0.139323,554434,85420,49.0
512,cold,True,290497,0.162706,843467,292890,49.0
512,cold,True,296543,0.187091,850109,298600,49.0
512,cold,True,312211,0.167037,839385,314520,49.0
512,cold,True,290559,0.165729,842578,292520,49.0
512,cold,True,323343,0.200654,973066,339900,49.0
512,cold,True,303090,0.190383,882727,322170,49.0
512,cold,True,292846,0.174947,802865,294870,49.0
512,cold,True,298579,0.163004,849938,300600,49.0
512,cold,True,320757,0.161853,874744,322850,49.0
512,cold,True,295263,0.175469,814955,297230,49.0
512,cold,True,291992,0.14846,783117,293940,49.0
512,cold,True,314582,0.15509,1069443,316740,49.0
512,cold,True,356718,0.175349,888180,358910,49.0
512,cold,True,272928,0.169929,781636,291240,49.0
2048,warm,False,2072,0.147912,215187,0,
2048,warm,False,2107,0.294933,359403,3370,50.0
2048,warm,False,2193,0.148589,230499,3290,50.0
2048,warm,False,2117,0.149206,220417,0,
2048,warm,False,2099,0.155155,224901,3430,49.0
2048,warm,False,2210,0.16404,215673,3560,50.0
2048,warm,False,2083,0.149161,223042,3300,50.0
2048,warm,False,2040,0.29459,363702,3320,49.0
2048,warm,False,2090,0.155038,219402,0,
2048,warm,False,2088,0.163354,215728,3520,49.0
