memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,118650,0.370215,3385127,0,
128,cold,True,157885,0.353168,3435191,220563,
128,cold,True,71244,0.353028,612445,116582,
128,cold,True,121233,0.362366,680463,0,
128,cold,True,101776,0.363001,687905,170878,
128,cold,True,98519,0.366456,680487,0,
128,cold,True,95480,0.338291,596321,146221,
128,cold,True,88781,0.330156,582864,142241,
128,cold,True,125587,0.341754,2595205,226855,
128,cold,True,92752,0.333584,631862,148693,
128,cold,True,100571,0.37182,679623,0,
128,warm,False,6706,0.325654,450731,0,
128,warm,False,11901,0.333586,476527,0,
128,warm,False,10311,0.337008,473974,0,
128,warm,False,7993,0.334476,455740,0,
128,warm,False,11116,0.334694,460198,0,
128,warm,False,16166,0.337379,464333,0,
128,warm,False,10414,0.332212,494505,0,
128,warm,False,12777,0.335882,481175,0,
128,warm,False,5798,0.33956,481789,0,
128,warm,False,8561,0.333776,464707,0,
