memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,sequential,False,22383,0.19127,271640,24050,52.0
128,sequential,False,6292,0.147068,204555,7730,51.0
128,sequential,False,2133,0.306739,384321,5730,52.0
128,sequential,False,2127,0.09985,163819,17940,53.0
128,sequential,False,22199,0.09295,166193,24190,53.0
128,sequential,False,10257,0.188495,279809,30380,53.0
128,sequential,False,2022,0.10371,161588,12370,52.0
128,sequential,False,2008,0.084673,225625,23550,52.0
128,sequential,False,2145,0.107342,297556,10540,52.0
128,sequential,False,22170,0.154981,229163,23700,53.0
128,sequential,False,2055,0.091972,209360,14240,53.0
128,sequential,False,3177,0.283418,378237,33500,53.0
128,sequential,False,2005,0.251103,330548,16800,53.0
128,sequential,False,2092,0.101629,165670,18090,51.0
128,sequential,False,1990,0.479965,530544,11360,53.0
128,sequential,False,7483,0.095215,155119,9810,52.0
128,sequential,False,2088,0.170226,288501,37920,51.0
128,sequential,False,2102,0.092239,162635,21150,52.0
128,sequential,False,17084,0.276757,349040,19150,53.0
128,sequential,False,2080,0.104023,171785,17970,51.0
128,sequential,False,2157,0.128343,192856,4880,51.0
128,sequential,False,2003,0.091636,161817,13370,53.0
128,sequential,False,1956,0.088583,165819,19540,53.0
128,sequential,False,18283,0.086813,348797,19610,53.0
128,sequential,False,7722,0.330105,408174,27900,53.0
128,sequential,False,2244,0.12254,194918,15960,53.0
128,sequential,False,2260,0.285805,376434,11800,53.0
128,sequential,False,2005,0.10341,225510,7810,53.0
128,sequential,False,14862,0.118778,194528,16219,51.0
128,sequential,False,2127,0.127525,182475,9350,53.0
128,sequential,False,2003,0.088019,136707,7370,53.0
128,sequential,False,2081,0.354606,458559,14770,53.0
128,sequential,False,17222,0.163451,408602,34590,53.0
128,sequential,False,2021,0.125909,309929,13020,53.0
128,sequential,False,2058,0.128419,314916,23590,51.0
128,sequential,False,2042,0.100495,162910,10150,53.0
128,sequential,False,1983,0.131063,319016,12870,53.0
128,sequential,False,2075,0.100988,172576,9590,51.0
128,sequential,False,2129,0.08512,171876,11290,51.0
128,sequential,False,1980,0.178271,257852,7720,53.0
128,sequential,False,2308,0.278249,340393,13700,52.0
128,sequential,False,22229,0.088118,161844,23650,53.0
128,sequential,False,2039,0.103543,179480,11190,53.0
128,sequential,False,2635,0.09063,163158,10910,53.0
128,sequential,False,2028,0.091341,156748,6430,53.0
128,sequential,False,1997,0.193741,282789,25310,52.0
128,sequential,False,22336,0.102698,173899,23760,51.0
128,sequential,False,2065,0.195036,264052,5090,52.0
128,sequential,False,2100,0.328526,383506,13410,51.0
128,sequential,False,2102,0.140153,224554,33530,51.0
256,cold,True,656226,0.468948,1524417,676150,51.0
256,cold,True,607478,0.467178,1364853,627720,51.0
256,cold,True,661740,0.269818,1324129,663330,51.0
256,cold,True,640840,0.487436,1531391,660070,50.0
256,cold,True,634191,0.357578,1330158,654860,50.0
256,cold,True,677009,0.467018,1533927,679200,51.0
256,cold,True,636500,0.468752,1516522,655090,51.0
256,cold,True,630958,0.374333,1385161,633270,51.0
256,cold,True,607440,0.485224,1518838,626250,50.0
256,cold,True,637131,0.469116,1383981,638950,50.0
256,cold,True,627273,0.469939,1397310,647680,50.0
256,cold,True,618489,0.465071,1534421,656350,50.0
256,cold,True,626800,0.4637,1511156,628900,50.0
256,cold,True,612077,0.466935,1407464,634550,51.0
256,cold,True,662977,0.464226,1531827,701200,50.0
