memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,sequential,False,2335,0.233813,303796,21780,49.0
128,sequential,False,2083,0.111706,182450,19490,50.0
128,sequential,False,2201,0.117851,289372,6010,49.0
128,sequential,False,2125,0.20108,277413,17840,49.0
128,sequential,False,2103,0.128896,198753,21350,49.0
128,sequential,False,10246,0.119676,172556,11720,49.0
128,sequential,False,2078,0.109667,183921,15510,50.0
128,sequential,False,2067,0.320442,404096,13800,50.0
128,sequential,False,2234,0.179954,250264,15810,50.0
128,sequential,False,18269,0.11875,353811,19780,50.0
256,sequential,False,2102,0.124645,187976,0,
256,sequential,False,2089,0.184171,245094,3500,50.0
256,sequential,False,2204,0.094955,312095,3560,50.0
256,sequential,False,2138,0.162008,218093,0,
256,sequential,False,2108,0.128799,182300,6820,50.0
256,sequential,False,2188,0.238541,293768,3640,50.0
256,sequential,False,2215,0.097087,134589,3540,49.0
256,sequential,False,2056,0.126971,176899,3270,50.0
256,sequential,False,2377,0.099126,188304,3880,49.0
256,sequential,False,2236,0.174128,321144,22660,49.0
128,cold,True,1284595,0.308039,1972792,1324320,49.0
128,cold,True,1344254,0.307089,1992774,1364340,49.0
128,cold,True,1306400,0.288614,1917942,1308400,49.0
128,cold,True,1367567,0.307676,2070168,1407250,49.0
128,cold,True,1324917,0.307248,2047720,1382990,49.0
128,cold,True,1327739,0.308308,1986674,1347970,49.0
128,cold,True,1368806,0.311603,2199157,1388980,49.0
128,cold,True,1343838,0.311064,2015554,1363570,49.0
128,cold,True,1416852,0.307876,2119750,1456330,49.0
128,cold,True,1355930,0.306613,2051911,1394900,49.0
256,cold,True,633731,0.181997,1183388,653850,49.0
256,cold,True,645330,0.186934,1210793,683660,49.0
256,cold,True,668324,0.187186,1215852,688090,49.0
256,cold,True,621465,0.182508,1186484,641750,49.0
256,cold,True,667899,0.18765,1335603,705800,49.0
256,cold,True,646743,0.183639,1191331,668210,49.0
256,cold,True,628340,0.182554,1185692,646960,49.0
256,cold,True,629785,0.179158,1175562,667880,49.0
256,cold,True,654340,0.179692,1197841,673450,49.0
256,cold,True,604867,0.187001,1136841,622100,49.0
256,burst,True,653757,0.312554,1417886,672180,49.0
256,burst,True,657790,0.300347,1334163,677010,49.0
256,burst,True,610473,0.277511,1233335,631610,49.0
256,burst,True,616675,0.307684,1296362,634860,49.0
256,burst,True,629705,0.313485,1318943,672250,49.0
256,burst,True,673604,0.314038,1403707,675810,49.0
256,burst,True,650372,0.312402,1340758,688690,49.0
256,burst,True,612594,0.301936,1229030,614420,49.0
256,burst,True,614343,0.30879,1245433,633960,49.0
256,burst,True,662821,0.309048,1404351,692010,49.0
128,burst,True,1066694,0.179935,1703586,1106350,49.0
128,burst,True,1354922,0.178543,1921314,1395290,49.0
128,burst,True,1377141,0.143553,1922963,1416400,49.0
128,burst,True,1023499,0.139338,1518542,1043890,49.0
128,burst,True,1293555,0.178046,1815593,1351610,49.0
128,burst,True,1396302,0.14413,1944723,1436960,49.0
128,burst,True,1345773,0.140928,1817424,1347770,49.0
128,burst,True,1360371,0.179449,1894071,1385020,49.0
128,burst,True,1409735,0.180403,1953153,1429940,49.0
128,burst,True,1414124,0.179307,1968002,1434450,49.0
256,warm,False,2160,0.122586,163570,4300,49.0
256,warm,False,2069,0.121751,175526,3500,49.0
256,warm,False,2068,0.110014,170623,3270,49.0
256,warm,False,2071,0.109978,160636,3630,49.0
256,warm,False,2163,0.109488,151307,3510,49.0
256,warm,False,2137,0.109489,156866,3470,49.0
256,warm,False,2282,0.114226,166896,3770,49.0
256,warm,False,2086,0.121349,270021,11650,49.0
256,warm,False,7837,0.099328,163563,9880,50.0
256,warm,False,2056,0.122249,270954,12880,50.0
128,warm,False,2077,0.11724,374283,9220,49.0
128,warm,False,2053,0.107935,371041,20500,49.0
128,warm,False,34308,0.116377,372834,35830,49.0
128,warm,False,2207,0.116951,376491,16270,49.0
128,warm,False,18197,0.111419,369938,19580,49.0
128,warm,False,2059,0.11131,372758,23590,49.0
128,warm,False,22383,0.102847,369338,23950,49.0
128,warm,False,2557,0.103813,369448,12810,49.0
128,warm,False,2143,0.098318,367619,20600,49.0
128,warm,False,2167,0.109773,375647,52020,49.0
