memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,sequential,False,1691454,0.1013,1848488,1698370,95.0
128,sequential,False,1669897,0.17614,2021879,1685490,95.0
128,sequential,False,1672528,0.272595,2066990,1674080,94.0
128,sequential,False,1627979,0.098508,1797540,1646410,95.0
128,sequential,False,1526483,0.182681,1782656,1547210,94.0
128,sequential,False,1567665,0.255043,1914229,1588570,95.0
128,sequential,False,1604475,0.103942,1765661,1619480,95.0
128,sequential,False,1617816,0.136962,1816443,1627460,95.0
128,sequential,False,1606952,0.106603,1771221,1620860,95.0
128,sequential,False,1605635,0.113236,1822481,1625840,94.0
256,sequential,False,830027,0.107903,1009001,831680,95.0
256,sequential,False,774257,0.104336,936427,775940,95.0
256,sequential,False,824398,0.099642,1019821,826050,95.0
256,sequential,False,782661,0.125742,1061936,784080,95.0
256,sequential,False,842849,0.10422,986916,844400,95.0
256,sequential,False,802954,0.111047,1028250,804610,95.0
256,sequential,False,792935,0.10175,1043842,794480,95.0
256,sequential,False,857307,0.101653,1014892,859190,95.0
256,sequential,False,816913,0.121848,983475,818680,95.0
256,sequential,False,865162,0.109383,1028138,866690,95.0
128,cold,True,7450342,0.267156,8215614,7470360,90.0
128,cold,True,7781324,0.241432,8441548,7802010,93.0
128,cold,True,7971113,0.266951,8703653,7973480,93.0
128,cold,True,7642295,0.259543,8398944,7663030,93.0
128,cold,True,7652205,0.262548,8318013,7672870,90.0
128,cold,True,7896077,0.271894,8655436,7916870,90.0
128,cold,True,7371502,0.241995,7996636,7392220,93.0
128,cold,True,7427395,0.260301,8043313,7436050,93.0
128,cold,True,7913921,0.241176,8614578,7916010,90.0
128,cold,True,7385423,0.259142,8042156,7405630,90.0
256,cold,True,3632987,0.092108,4138616,3649380,90.0
256,cold,True,3725036,0.102835,4220052,3727090,90.0
256,cold,True,3510797,0.091998,3947160,3512700,90.0
256,cold,True,3844666,0.103273,4276915,3846770,90.0
256,cold,True,3530098,0.102335,4003642,3532060,93.0
256,cold,True,3491378,0.102464,3946135,3493140,90.0
256,cold,True,3598119,0.083243,4009486,3599880,90.0
256,cold,True,3617191,0.103293,4074448,3619450,90.0
256,cold,True,3547866,0.090657,3992516,3549720,90.0
256,cold,True,3785290,0.106819,4297718,3787310,90.0
256,burst,True,3709196,0.4101,4494880,3711100,90.0
256,burst,True,3751497,0.45047,4592174,3753620,90.0
256,burst,True,3577081,0.451348,4430671,3579110,90.0
256,burst,True,3796518,0.450397,4615559,3798340,90.0
256,burst,True,3920352,0.450499,4708412,3922570,93.0
256,burst,True,3703995,0.450877,4542022,3716160,90.0
256,burst,True,3779982,0.45086,4598779,3782170,90.0
256,burst,True,3115875,0.450242,3904308,3117500,90.0
256,burst,True,3828030,0.45033,4620523,3828760,90.0
256,burst,True,3787988,0.449996,4676939,3788980,90.0
128,burst,True,7756052,0.168084,8305454,7758570,93.0
128,burst,True,7575344,0.136054,8063336,7577910,93.0
128,burst,True,8420558,0.170386,9103085,8422980,90.0
128,burst,True,7270901,0.170937,7816609,7273070,93.0
128,burst,True,7475417,0.169493,8044306,7477440,90.0
128,burst,True,7469812,0.133691,7941778,7490510,90.0
128,burst,True,7583106,0.127367,8177920,7602310,90.0
128,burst,True,7744427,0.127979,8307726,7765270,90.0
128,burst,True,7591593,0.169705,8176990,7593350,93.0
128,burst,True,7453585,0.169809,7939895,7455600,93.0
256,warm,False,853222,0.123152,1014007,854810,94.0
256,warm,False,794682,0.135806,998975,796170,94.0
256,warm,False,766707,0.113229,998771,768260,94.0
256,warm,False,821398,0.132777,1011509,824400,94.0
256,warm,False,800923,0.135874,998900,802470,94.0
256,warm,False,789038,0.121362,1002226,790580,94.0
256,warm,False,792649,0.1342,997929,794050,94.0
256,warm,False,924533,0.120597,1091912,926330,94.0
256,warm,False,831279,0.135442,1017724,832850,94.0
256,warm,False,914500,0.121815,1084936,916140,94.0
128,warm,False,1595602,0.135104,1802960,1597040,94.0
128,warm,False,1719179,0.134363,1906489,1720790,94.0
128,warm,False,1589687,0.133651,1807062,1591280,94.0
128,warm,False,1566257,0.124611,1802288,1567680,94.0
128,warm,False,1638019,0.119116,1803778,1639580,94.0
128,warm,False,1668020,0.117283,1839971,1669730,94.0
128,warm,False,1524587,0.134638,1804708,1545400,94.0
128,warm,False,1633179,0.135263,1863721,1670620,94.0
128,warm,False,1686705,0.119797,1845413,1688210,94.0
128,warm,False,1556029,0.122045,1799981,1574090,94.0
