memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,6230319,0.145093,6682541,6251410,73.0
128,cold,True,5963925,0.145221,6445670,5986110,73.0
128,cold,True,6073947,0.164674,6553910,6095940,73.0
128,cold,True,6324320,0.152933,6800405,6345510,73.0
128,cold,True,6247974,0.164652,6770287,6269250,73.0
128,cold,True,5420574,0.152735,5873594,5437780,73.0
128,cold,True,6436282,0.153144,6873385,6457310,73.0
128,cold,True,6317480,0.144769,6804490,6319900,73.0
128,cold,True,6061257,0.164387,6694687,6082630,73.0
128,cold,True,6214339,0.145081,6690999,6225450,73.0
256,cold,True,2876940,0.141176,3336998,2879250,73.0
256,cold,True,2841825,0.16164,3320804,2843940,73.0
256,cold,True,2796458,0.16085,3229195,2802270,73.0
256,cold,True,2886462,0.161429,3342801,2888870,73.0
256,cold,True,3036387,0.13973,3455654,3039770,73.0
256,cold,True,2895377,0.161464,3404146,2897580,73.0
256,cold,True,2991851,0.17231,3476451,2994300,73.0
256,cold,True,2953152,0.171892,3475367,2963780,73.0
256,cold,True,2927201,0.139917,3340033,2941550,73.0
256,cold,True,2655172,0.120065,3019802,2657140,73.0
1024,cold,True,1063526,0.180839,1580001,1065940,73.0
1024,cold,True,971797,0.160804,1493850,979840,73.0
1024,cold,True,853694,0.179987,1328880,855900,73.0
1024,cold,True,887328,0.160424,1316643,889800,73.0
1024,cold,True,946128,0.180744,1438506,948620,73.0
1024,cold,True,1001216,0.179729,1538094,1003790,73.0
1024,cold,True,1009996,0.180103,1498450,1012210,73.0
1024,cold,True,1055911,0.180792,1574492,1058310,73.0
1024,cold,True,884802,0.153757,1318052,886970,73.0
1024,cold,True,948564,0.160397,1392307,950850,73.0
1024,warm,False,393463,0.137701,599654,395260,75.0
1024,warm,False,397096,0.144859,604827,398920,75.0
1024,warm,False,443510,0.146241,666472,445320,75.0
1024,warm,False,394698,0.159337,615823,396560,75.0
1024,warm,False,427406,0.159118,649655,429290,75.0
1024,warm,False,396945,0.146223,612751,398700,75.0
1024,warm,False,333564,0.146657,546659,335480,75.0
1024,warm,False,398139,0.159686,625789,399980,75.0
1024,warm,False,413365,0.14522,629900,415080,75.0
1024,warm,False,374308,0.158427,614127,376170,75.0
2048,cold,True,782107,0.178999,1291991,784400,73.0
2048,cold,True,751454,0.163295,1214924,753740,73.0
2048,cold,True,767863,0.156584,1215044,770160,73.0
2048,cold,True,791858,0.155745,1241586,794030,73.0
2048,cold,True,704582,0.17944,1364486,706760,73.0
2048,cold,True,729117,0.163255,1210947,731130,73.0
2048,cold,True,713898,0.179534,1222248,716160,73.0
2048,cold,True,781192,0.179996,1251944,783480,73.0
2048,cold,True,987701,0.180332,1618076,990200,73.0
2048,cold,True,691001,0.179158,1169326,693340,73.0
512,cold,True,1544290,0.17831,1997886,1546190,73.0
512,cold,True,1618131,0.206501,2140012,1620680,73.0
512,cold,True,1511840,0.179189,2001733,1514060,73.0
512,cold,True,1728489,0.204175,2252933,1730100,73.0
512,cold,True,1554992,0.204448,2042852,1557310,73.0
512,cold,True,1451787,0.172393,1934982,1454060,73.0
512,cold,True,1566976,0.206267,2057757,1569380,73.0
512,cold,True,1599051,0.177291,2067773,1601300,73.0
512,cold,True,1519566,0.179536,1994386,1521140,73.0
512,cold,True,1818589,0.205952,2382592,1821420,73.0
2048,warm,False,381717,0.194486,634961,383650,75.0
2048,warm,False,382574,0.187475,622764,384270,75.0
2048,warm,False,379481,0.193909,641816,381410,75.0
2048,warm,False,393844,0.194438,659727,395610,75.0
2048,warm,False,396036,0.189206,639915,397900,75.0
2048,warm,False,330171,0.193995,591067,332000,75.0
2048,warm,False,375135,0.187702,622770,377040,75.0
2048,warm,False,390906,0.189793,635578,392800,75.0
2048,warm,False,353596,0.19429,617858,355360,75.0
2048,warm,False,378444,0.189612,630602,380240,75.0
256,warm,False,495112,0.135006,713374,496890,75.0
256,warm,False,492413,0.178893,725585,493960,75.0
256,warm,False,586602,0.164628,816937,588420,75.0
256,warm,False,559500,0.150517,774614,561320,75.0
256,warm,False,556679,0.177057,797001,558620,75.0
256,warm,False,560517,0.1773,801123,561710,75.0
256,warm,False,497438,0.134368,697256,499120,75.0
256,warm,False,741670,0.137244,948474,743480,75.0
256,warm,False,467247,0.178523,713548,469030,75.0
256,warm,False,521579,0.138047,719975,523309,75.0
128,warm,False,531347,1.128184,1723210,545510,75.0
128,warm,False,693844,0.142612,945579,714110,75.0
128,warm,False,595959,1.139313,1794472,598710,75.0
128,warm,False,716117,1.310913,2092681,717950,75.0
128,warm,False,707347,0.148119,965274,709200,75.0
128,warm,False,511541,1.140575,1720306,529500,75.0
128,warm,False,549107,1.134632,1744414,552550,75.0
128,warm,False,762442,0.148702,1023902,764660,75.0
128,warm,False,733663,1.310399,2107373,735450,75.0
128,warm,False,696589,0.149837,949160,704810,75.0
512,warm,False,440975,0.138931,696519,442710,75.0
512,warm,False,410445,0.14981,685422,412030,75.0
512,warm,False,396893,0.151182,684452,398700,75.0
512,warm,False,416462,0.151569,691288,418360,75.0
512,warm,False,398178,0.138859,697929,400080,75.0
512,warm,False,445003,0.136754,688874,446870,75.0
512,warm,False,439630,0.149443,694940,441400,75.0
512,warm,False,403809,0.139924,686198,405710,75.0
512,warm,False,426591,0.13852,691482,428620,75.0
512,warm,False,407089,0.149523,685223,408930,75.0
