memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,5815607,0.123357,6901395,5837540,73.0
128,cold,True,6511419,0.109417,6945155,6531490,73.0
128,cold,True,6010170,0.122988,6480953,6031030,73.0
128,cold,True,6167396,0.130399,6739726,6182390,73.0
128,cold,True,5517932,0.110332,5890936,5538880,73.0
128,cold,True,6505548,0.129818,6946346,6526750,73.0
128,cold,True,5803737,0.129567,6235132,5824770,73.0
128,cold,True,6031226,0.126845,6480430,6044540,73.0
128,cold,True,5909899,0.10875,6326959,5930860,73.0
128,cold,True,5999898,0.109735,6446088,6021080,73.0
128,warm,False,762823,0.277879,1090598,774370,75.0
128,warm,False,620092,0.278418,950274,621910,75.0
128,warm,False,676572,0.266271,1004419,678650,75.0
128,warm,False,707118,0.2833,1060561,709030,75.0
128,warm,False,714638,0.278119,1057520,721930,75.0
128,warm,False,628497,0.283279,962674,630540,75.0
128,warm,False,680135,0.283019,1006114,681990,75.0
128,warm,False,805469,0.266785,1309345,816030,75.0
128,warm,False,662756,0.28299,999273,679690,75.0
128,warm,False,644895,0.283567,974552,662580,75.0
